N_CARD_SKIMMING,SUCCESS_ATTACK,N_INCOME,COORD_X,RECOV_AMOUNT,N_DENSITY,ATM_ID,PROB_ATTACKED,BURGLARY,VANDALISM,UNP_RATE,N_FREQ_ATTACK,N_MANUAL_ATK,RECOVERED,N_FRAUD_ATTACK,N_ATTACK_L2,N_AGE,FREGUESIA,MANUAL_ATK,INCOME,PARISH,TRANS_REVER,N_LOG_ISOLATED,N_PHYS_ATTACK,CARD_SKIMMING,N_CASH_TRAPPING,INDIRECT_LOSS,ATTACK_DURATION,COORD_Y,CARD_TRAPPING,N_CARD_TRAPPING,ACCOUNT_DATE,PERSONA1,FREQ_ATTACK,LOG_ISOLATED,CASH_TRAPPING,LOGIC_ATK,PERSONA2,DETEC_DATE,WITHIN500,N_TRANS_REVER,EXPLO_GAS,RECOV_DATE,Police_Dis,N_LOG_NETWORK,N_VANDALISM,ADDRESS,NET_LOSS,NUMBER,RAM_RAIDS,COM_DENS,EVENT_DATE,PHYS_ATTACK,N_ATTACK_L0,N_IMPLEM_TYPE,AGE,GROSS_LOSS,N_COM_DENS,N_UNP_RATE,DENSITY,N_BURGLARY,WITHIN1000,MWay_Dist,N_ATTACK_L1,LOG_NETWORK,N_EXPLO_GAS,YEAR_ACOUNT,N_LOGIC_ATK,BANK,FRAUD_ATTACK,N_RAM_RAIDS
0,1,5,-9.14026,0,1,BPI04,1.0,0,0,5,1,1,0,1,010103,2,Lumiar,1,50,7,0,0,0,0,1,0,2,38.76319,0,0,31-Dec-2012 00:00,4,1,0,1,0,,30-Nov-2012 10:00,0,0,0,,932.50,0,0,"Avenida Marechal Craveiro Lopes, Lisbon",150,0,0,9,26-Nov-2012 18:00,0,1,4,35,150,2,2,0.16,0,0,640.77,0101,0,0,2012,0,BANCO BPI S.A.,1,0
0,,6,-9.13986,,2,NCI28,9.40346742347e-279,0,0,3,0,0,,0,,2,Alvalade,0,62,7,0,0,0,0,0,,,38.74588,0,0,,,0,0,0,0,,,500,0,0,,727.35,0,0,"Avenida Roma 32, Lisbon",,0,0,37,,0,,,39,,4,1,14.31,0,1000,1906.93,,0,0,,0,BANCO NACIONAL DE CREDITO IMOBILIARIO,0,0
0,,4,-9.13449,,1,CP59,0.0,0,0,12,0,0,,0,,4,Arroios,0,44,22,0,0,0,0,0,,,38.73113,0,0,,,0,0,0,0,,,500,0,0,,177.63,0,0,"Avenida Almirante Reis, Lisbon",,1,0,47,,0,,,55,,5,3,0.00,0,1000,3019.81,,0,0,,0,BANCO COMERCIAL PORTUGUES,0,0
0,,3,-9.15799,,1,SI19,2.6203847756e-281,0,0,16,0,0,,0,,4,Estrela,0,36,16,0,0,0,0,0,,,38.70571,0,0,,,0,0,0,0,,,0,0,0,,623.24,0,0,"Avenida 24 De Julho 74-76, Lisbon",,2,0,18,,0,,,55,,2,4,4.67,0,1000,1761.21,,0,0,,0,SOCIEDADE INTERBANCARIA,0,0
0,,3,-9.10438,,1,CP27,0.0,0,0,18,0,0,,0,,4,Marvila,0,36,1,0,0,0,0,0,,,38.74579,0,0,,,0,0,0,0,,,0,0,0,,705.79,0,0,"Avenida Infante Dom Henrique, Lisbon",,2,0,9,,0,,,55,,2,4,0.00,0,1000,2915.14,,0,0,,0,BANCO COMERCIAL PORTUGUES,0,0
0,,3,-9.10438,,1,BPI78,0.0,0,0,18,0,0,,0,,4,Marvila,0,36,1,0,0,0,0,0,,,38.74579,0,0,,,0,0,0,0,,,0,0,0,,705.79,0,0,"Avenida Infante Dom Henrique, Lisbon",,2,0,9,,0,,,55,,2,4,0.00,0,1000,2915.14,,0,0,,0,BANCO BPI S.A.,0,0
0,,5,-9.15093,,3,BB20,0.0,0,0,8,0,0,,0,,4,Estrela,0,48,18,0,0,0,0,0,,,38.71479,0,0,,,0,0,0,0,,,0,0,0,,461.47,0,0,"Rua Sao Marcal 78-80, Lisbon",,1,0,18,,0,,,49,,2,2,25.87,0,1000,2114.73,,0,0,,0,BARCLAYS BANK,0,0
0,,6,-9.16167,,2,CGD26,9.03045388862e-138,0,0,9,0,0,,0,,1,Campo de Ourique,0,58,3,0,0,0,0,0,,,38.71635,0,0,,,0,0,0,0,,,0,0,0,,541.54,0,0,"Rua Saraiva De Carvalho 122, Lisbon",,1,0,18,,0,,,27,,2,2,14.11,0,1000,1211.52,,0,0,,0,CAIXA GERAL DE DEPOSITOS,0,0
0,,6,-9.16444,,2,CP53,1.0,0,0,2,0,0,,0,,3,Campo de Ourique,0,64,18,0,0,0,0,0,,,38.72362,0,0,,,0,0,0,0,,,0,0,0,,831.46,0,0,"Avenida Engenheiro Duarte Pacheco Loja 1114, Lisbon",,0,0,65,,0,,,45,,5,1,7.96,0,1000,765.84,,0,0,,0,BANCO COMERCIAL PORTUGUES,0,0
0,,6,-9.15082,,1,NB51,0.0,0,0,3,0,0,,0,,4,Santo AntMnio,0,64,18,0,0,0,0,0,,,38.72455,0,0,,,0,0,0,0,,,500,0,0,,95.05,0,0,"Praca Marques Pombal 3-A, Lisbon",,0,0,18,,0,,,53,,2,1,3.33,0,1000,1953.74,,0,0,,0,NOVO BANCO,0,0
